username,course_id,grade
johnpeterberthe,MinesTelecom/04017S02/session02,0.0
johnpeterberthe,MinesTelecom/04021S02/session02,0.0
guilloup,MinesTelecom/04017S02/session02,0.0
guilloup,MinesTelecom/04018S02/session02,0.0
guilloup,MinesTelecom/04021S02/session02,0.0
guilloup,course-v1:MinesTelecom+04017+session03,0.0
guilloup,course-v1:MinesTelecom+04018+session03,0.0
guilloup,course-v1:MinesTelecom+04026+session02,0.0
dmaillard73,MinesTelecom/04017S02/session02,0.0
dmaillard73,MinesTelecom/04018S02/session02,0.0
fcomoy,MinesTelecom/04017S02/session02,1.0
fcomoy,MinesTelecom/04018S02/session02,0.13
fcomoy,CNAM/01002S04/session04,0.86
Sacdos10,MinesTelecom/04017S02/session02,0.95
CarineFillot,MinesTelecom/04017/session01,0.0
CarineFillot,MinesTelecom/04017S02/session02,0.0
CarineFillot,CNAM/01002S04/session04,0.0
espagnf,MinesTelecom/04017S02/session02,0.0
hamaoui,MinesTelecom/04017S02/session02,0.0
hamaoui,MinesTelecom/04018S02/session02,0.0
hamaoui,MinesTelecom/04021S02/session02,0.0
BMAV,MinesTelecom/04017S02/session02,0.0
BMAV,MinesTelecom/04018S02/session02,0.0
Chishiki,MinesTelecom/04017/session01,0.0
Chishiki,MinesTelecom/04017S02/session02,0.0
Chishiki,MinesTelecom/04018/session01,0.0
Chishiki,MinesTelecom/04018S02/session02,0.0
Chishiki,MinesTelecom/04021/session01,0.0
Chishiki,MinesTelecom/04021S02/session02,0.0
Chishiki,course-v1:MinesTelecom+04017+session04,0.0
Chishiki,course-v1:MinesTelecom+04026+session03,0.0
hellwolf,MinesTelecom/04017S02/session02,0.0
hellwolf,MinesTelecom/04018S02/session02,0.0
hellwolf,MinesTelecom/04021/session01,0.57
amina_meriem,MinesTelecom/04017S02/session02,0.13
amina_meriem,MinesTelecom/04018S02/session02,0.0
amina_meriem,MinesTelecom/04021S02/session02,0.0
Francois_Dalmay,MinesTelecom/04017S02/session02,0.0
Francois_Dalmay,MinesTelecom/04021/session01,0.0
Francois_Dalmay,MinesTelecom/04021S02/session02,0.0
Francois_Dalmay,course-v1:MinesTelecom+04021+session03,0.0
Bwmarques,MinesTelecom/04017S02/session02,0.0
Bwmarques,MinesTelecom/04018S02/session02,0.0
Bwmarques,MinesTelecom/04021S02/session02,0.0
joeblack73,MinesTelecom/04017S02/session02,0.0
joeblack73,MinesTelecom/04018S02/session02,0.0
joeblack73,MinesTelecom/04021S02/session02,0.0
Mery85,MinesTelecom/04017/session01,0.0
Mery85,MinesTelecom/04017S02/session02,0.0
Mery85,MinesTelecom/04018/session01,0.0
Mery85,MinesTelecom/04018S02/session02,0.0
Mery85,MinesTelecom/04021/session01,0.0
Mery85,MinesTelecom/04021S02/session02,0.0
Mery85,course-v1:MinesTelecom+04017+session03,0.0
Mery85,course-v1:MinesTelecom+04021+session03,0.0
Mery85,course-v1:MinesTelecom+04018+session03,0.0
Mery85,CNAM/01002S04/session04,0.0
Mery85,course-v1:MinesTelecom+04026+session02,0.0
Mery85,course-v1:MinesTelecom+04021+session04,0.0
Mery85,course-v1:MinesTelecom+04017+session04,0.0
MEMZO,MinesTelecom/04017S02/session02,0.0
marindeterre,MinesTelecom/04017S02/session02,0.98
marindeterre,MinesTelecom/04018S02/session02,0.36
marindeterre,MinesTelecom/04021/session01,0.97
ttdolph,CNAM/01002S04/session04,0.0
marindeterre,MinesTelecom/04021S02/session02,0.0
noriz,MinesTelecom/04017S02/session02,0.0
noriz,MinesTelecom/04018S02/session02,0.0
noriz,MinesTelecom/04021S02/session02,0.0
noriz,CNAM/01002S04/session04,0.0
rgeorger,MinesTelecom/04017S02/session02,0.0
rgeorger,course-v1:MinesTelecom+04021+session03,0.0
rgeorger,course-v1:MinesTelecom+04026+session02,0.0
rgeorger,course-v1:MinesTelecom+04021+session05,0.0
zatara,MinesTelecom/04017/session01,0.42
zatara,MinesTelecom/04017S02/session02,0.75
zatara,MinesTelecom/04018/session01,0.0
zatara,MinesTelecom/04018S02/session02,0.35
zatara,MinesTelecom/04021/session01,0.0
zatara,course-v1:MinesTelecom+04021+session05,0.0
zatara,course-v1:MinesTelecom+04026+session03,0.07
HamzaZaarour,MinesTelecom/04017/session01,0.0
HamzaZaarour,MinesTelecom/04017S02/session02,0.33
HamzaZaarour,MinesTelecom/04018/session01,0.0
HamzaZaarour,MinesTelecom/04018S02/session02,0.0
HamzaZaarour,MinesTelecom/04021/session01,0.0
HamzaZaarour,MinesTelecom/04021S02/session02,0.0
HamzaZaarour,course-v1:MinesTelecom+04017+session03,0.0
HamzaZaarour,course-v1:MinesTelecom+04021+session03,0.0
HamzaZaarour,course-v1:MinesTelecom+04018+session03,0.0
HamzaZaarour,CNAM/01002S04/session04,0.0
HamzaZaarour,course-v1:MinesTelecom+04026+session02,0.0
HamzaZaarour,course-v1:MinesTelecom+04021+session04,0.0
HamzaZaarour,course-v1:MinesTelecom+04017+session04,0.0
stef12,MinesTelecom/04017S02/session02,0.0
mehamed,MinesTelecom/04017S02/session02,0.0
mehamed,MinesTelecom/04018S02/session02,0.0
mehamed,CNAM/01002S04/session04,0.0
KHAMRAOUIHAMZA,MinesTelecom/04017/session01,0.09
KHAMRAOUIHAMZA,MinesTelecom/04017S02/session02,0.0
